id;user_id;status;result_file_url;error_message;created_at;completed_at;updated_at
9a085d0c-82f2-426f-aaf9-401b7e6dbc9c;b71b9ee5-7c13-403f-b46a-97efa3a316d1;completed;9a085d0c-82f2-426f-aaf9-401b7e6dbc9c_result.xlsx;;2025-11-19 21:04:03.291927+00;2025-11-19 22:31:47.151+00;2025-11-19 22:31:47.186919+00
9ff31633-daea-4f19-8eb7-2370411a8885;b71b9ee5-7c13-403f-b46a-97efa3a316d1;completed;9ff31633-daea-4f19-8eb7-2370411a8885_result.xlsx;;2025-11-19 19:26:24.337019+00;2025-11-19 23:29:38.493+00;2025-11-19 23:29:38.586024+00
66bcfb8d-dbd4-4bad-8c72-7362193faae5;b71b9ee5-7c13-403f-b46a-97efa3a316d1;completed;66bcfb8d-dbd4-4bad-8c72-7362193faae5_result.xlsx;;2025-11-19 23:28:36.324652+00;2025-11-19 23:30:20.287+00;2025-11-19 23:30:20.413239+00
66188df2-75e4-4da6-962b-484509d97854;b71b9ee5-7c13-403f-b46a-97efa3a316d1;completed;66188df2-75e4-4da6-962b-484509d97854_result.xlsx;;2025-11-19 23:28:56.479824+00;2025-11-20 00:17:55.591+00;2025-11-20 00:17:55.676829+00
e8e7411f-1406-4d1d-b2b8-9ee86bc6d893;b71b9ee5-7c13-403f-b46a-97efa3a316d1;completed;e8e7411f-1406-4d1d-b2b8-9ee86bc6d893_result.xlsx;;2025-11-20 00:18:37.688889+00;2025-11-20 00:27:09.616+00;2025-11-20 00:27:09.737699+00
f2787c46-23f5-4c25-b5e6-eb3b0d7ef9b1;b71b9ee5-7c13-403f-b46a-97efa3a316d1;completed;f2787c46-23f5-4c25-b5e6-eb3b0d7ef9b1_result.xlsx;;2025-11-20 00:28:50.290155+00;2025-11-20 00:29:13.602+00;2025-11-20 00:29:13.636181+00
b96d9256-0797-466a-8ff5-c06df0916bb3;b71b9ee5-7c13-403f-b46a-97efa3a316d1;completed;b96d9256-0797-466a-8ff5-c06df0916bb3_result.xlsx;;2025-11-20 00:44:10.793651+00;2025-11-20 00:53:15.931+00;2025-11-20 00:53:16.033973+00
253ba66c-e412-4c21-8be6-b97522200328;b71b9ee5-7c13-403f-b46a-97efa3a316d1;pending;;;2025-11-20 01:21:55.89911+00;;2025-11-20 01:21:55.89911+00
cdd901ca-427a-49dd-b532-b81da22b77b6;b71b9ee5-7c13-403f-b46a-97efa3a316d1;completed;cdd901ca-427a-49dd-b532-b81da22b77b6_result.xlsx;;2025-11-20 01:24:42.080355+00;2025-11-20 01:25:15.044+00;2025-11-20 01:25:15.127372+00
60e6f7b3-5d7f-44d1-badc-bec24a34d911;b71b9ee5-7c13-403f-b46a-97efa3a316d1;pending;;;2025-11-20 01:27:35.933995+00;;2025-11-20 01:27:35.933995+00
a18379d0-2e1c-4f7c-b462-8840ad21dec8;b71b9ee5-7c13-403f-b46a-97efa3a316d1;pending;;;2025-11-20 01:33:02.969876+00;;2025-11-20 01:33:02.969876+00
8b66c39f-3a3e-4357-a721-6e8ea948c520;b71b9ee5-7c13-403f-b46a-97efa3a316d1;completed;8b66c39f-3a3e-4357-a721-6e8ea948c520_result.xlsx;;2025-11-20 01:34:31.891495+00;2025-11-20 01:35:07.376+00;2025-11-20 01:35:07.522174+00
33c6267e-45cd-444a-804e-91cdc965bec8;b71b9ee5-7c13-403f-b46a-97efa3a316d1;completed;33c6267e-45cd-444a-804e-91cdc965bec8_result.xlsx;;2025-11-20 01:37:00.440733+00;2025-11-20 01:37:36.55+00;2025-11-20 01:37:36.624074+00